Age,NumberOfDependents,EducationLevel,MaritalStatus,HomeOwnership,ResidencyYears,State,NumberOfDependentsUnder18,EmploymentStatus,EmploymentLengthYears,EmployerType,JobCategory,AnnualIncome,MonthlyGrossIncome,SecondaryMonthlyIncome,TotalMonthlyIncome,IncomeVerified,YearsAtCurrentEmployer,SavingsBalance,CheckingBalance,InvestmentPortfolioValue,PropertyValue,VehicleValue,TotalAssets,MortgageOutstandingBalance,AutoLoanOutstandingBalance,StudentLoanOutstandingBalance,CreditHistoryLengthMonths,NumberOfOpenAccounts,NumberOfCreditCards,TotalCreditLimit,RevolvingUtilizationRate,NumberOfLatePayments30Days,NumberOfLatePayments60Days,NumberOfLatePayments90Days,NumberOfChargeOffs,NumberOfCollections,NumberOfBankruptcies,NumberOfPublicRecords,NumberOfHardInquiries12Mo,NumberOfHardInquiries24Mo,OldestAccountAgeMonths,AverageAccountAgeMonths,NumberOfSatisfactoryAccounts,DebtToIncomeRatio,RequestedLoanAmount,LoanPurpose,RequestedTermMonths,HasCoApplicant,CollateralType,CollateralValue,LoanToIncomeRatio,MonthlyPaymentEstimate,PaymentToIncomeRatio,PreviousLoanWithBank,RiskTier,InterestRate
39,2,Master,Single,Rent,5.4,Mid-Atlantic,2,Full-Time,12.9,Government,Sales,25475.11,12064.32,,15914.1,0,5.4,2693.79,11802.65,,,,14496.44,0.0,0.0,36659.6,175.0,7,2,40622.78,0.6495,2,2,1,1,0,0.0,0.0,1.0,1,207,122,6,0.2903,4900.0,Debt Consolidation,48,0,Vehicle,0.0,0.1923,430.84,0.0271,1,4,12.08
52,1,No Diploma,Single,Rent,14.2,Northeast,0,Retired,3.9,Government,Professional,74701.93,29246.48,0.0,29246.48,0,3.4,74884.61,4950.63,,,29928.85,164276.06,0.0,7626.58,,320.0,13,4,158902.02,0.116,0,0,0,0,0,0.0,3.0,1.0,2,320,104,7,0.2711,2800.0,Education,60,0,Property,14502.76,0.0375,222.11,0.0076,0,2,6.11
48,0,Some College,Married,Rent,1.8,Pacific Coast,0,Self-Employed,3.8,SME,Technical,66884.16,45180.52,3327.83,48508.35,1,1.4,4897.76,3111.14,42108.57,,11973.77,62091.24,,,,459.0,6,1,29915.39,0.4575,0,0,0,0,0,0.0,1.0,2.0,2,495,342,6,0.1443,12100.0,Home Improvement,24,0,None,,0.1809,616.01,0.0127,0,0,5.34
33,1,Bachelor,Single,Rent,3.1,Great Plains,1,Part-Time,10.1,Corporate,Technical,91747.07,33900.45,1495.2,35395.65,1,5.0,20024.1,23849.82,15090.33,,39027.31,97991.56,0.0,22080.28,21981.16,142.0,8,6,20252.12,0.6714,0,0,0,0,0,0.0,0.0,4.0,4,142,120,4,0.0624,13000.0,Auto,24,1,None,,0.1417,238.61,0.0067,1,2,4.99
21,0,Bachelor,Single,Rent,0.1,Northwest,0,Full-Time,5.1,Corporate,Sales,69739.05,42460.91,0.0,42460.91,1,2.9,108278.8,2417.57,21236.49,,,181986.86,,0.0,,8.0,6,2,16294.19,0.5172,1,0,0,0,1,1.0,0.0,2.0,2,17,8,5,0.3518,6600.0,Debt Consolidation,36,0,Vehicle,,0.0946,308.71,0.0073,0,4,6.75
39,0,HS Diploma,Single,Living with Family,20.9,Pacific Coast,0,Retired,1.7,Self,Service,71244.24,35647.91,,35647.91,1,1.0,60055.06,1149.38,0.0,,29943.76,91148.2,,,0.0,349.0,10,5,,0.24,0,0,0,0,0,0.0,0.0,2.0,3,349,169,6,0.288,46500.0,Debt Consolidation,36,1,None,,0.6527,1539.94,0.0432,0,1,5.61
32,1,PhD,Married,Rent,6.7,Pacific Coast,1,Full-Time,10.2,SME,Sales,86882.47,45229.06,0.0,45229.06,0,2.0,25837.47,4706.65,,0.0,,74201.84,,4588.88,,23.0,6,2,12225.68,0.2674,2,1,0,1,1,0.0,0.0,0.0,2,110,82,5,0.091,6000.0,Debt Consolidation,12,1,None,,0.0691,238.09,0.0053,0,4,6.62
54,3,HS Diploma,Married,Mortgage,7.9,Southeast,1,Part-Time,3.5,Corporate,Management,39409.9,46001.77,0.0,46001.77,0,3.3,1889.53,962.75,,,40811.11,43663.39,71078.64,17216.79,,428.0,6,3,20170.43,0.0467,0,0,0,0,0,0.0,0.0,0.0,0,581,353,4,0.4541,4000.0,Medical,60,0,None,,0.1015,841.26,0.0183,1,2,6.44
43,3,No Diploma,Divorced,Rent,0.1,Pacific Coast,0,Full-Time,5.3,Corporate,Professional,92693.81,36601.3,3019.54,39620.84,1,5.3,55304.37,3888.21,0.0,,10307.41,69499.99,0.0,0.0,,436.0,7,2,,,0,0,0,0,0,0.0,0.0,4.0,4,500,353,6,0.0435,100000.0,Personal,36,1,Vehicle,0.0,1.0788,1032.18,0.0261,0,0,8.27
24,0,No Diploma,Single,Mortgage,2.8,Northwest,0,Full-Time,1.6,Corporate,Professional,15000.0,14466.58,0.0,14466.58,1,1.5,1641.93,4321.79,,70268.41,50376.99,157331.0,64340.3,32793.13,0.0,40.0,7,4,5383.58,0.8351,2,1,1,2,0,0.0,0.0,0.0,3,49,25,5,0.1531,1000.0,Debt Consolidation,36,0,None,,0.0667,50.0,0.0035,0,4,19.67
29,3,Master,Single,Own,0.5,Mountain West,0,Full-Time,3.4,Government,Sales,105292.61,42349.41,2067.31,44416.72,1,0.9,10323.7,1416.22,120627.38,553491.62,0.0,685858.92,,,,85.0,6,2,62818.48,0.2741,0,0,0,0,0,0.0,0.0,0.0,1,106,72,4,0.109,7700.0,Auto,48,0,None,,0.0731,1082.27,0.0244,0,1,6.6
44,0,No Diploma,Divorced,Rent,0.6,Northeast,0,Full-Time,5.3,Self,Professional,34601.82,30552.86,,30552.86,1,5.2,974.8,2124.73,,,,3099.53,0.0,,14152.46,573.0,6,4,33287.3,0.2851,0,0,0,0,0,0.0,0.0,0.0,2,589,393,4,0.1156,30100.0,Debt Consolidation,48,0,Savings Account,43408.9,0.8699,1067.89,0.035,0,2,4.99
27,0,HS Diploma,Divorced,Rent,2.1,Mountain West,0,Full-Time,1.9,Corporate,Professional,34262.85,29138.56,0.0,29138.56,1,1.0,7503.81,1944.18,,,0.0,12180.75,0.0,0.0,,248.0,7,5,,0.6327,1,0,0,0,0,0.0,0.0,2.0,2,356,255,5,0.1774,34700.0,Home Improvement,12,0,None,0.0,1.0128,725.61,0.0249,0,3,8.51
26,1,HS Diploma,Married,Living with Family,2.0,Northwest,1,Full-Time,0.1,Government,Professional,79688.16,33324.94,0.0,33324.94,1,0.0,19482.45,702.7,135702.47,,,176465.06,0.0,,,315.0,7,3,41167.87,0.2017,0,0,0,0,0,,0.0,0.0,0,315,173,5,0.0803,22400.0,Personal,12,0,Vehicle,10431.5,0.2811,978.85,0.0294,0,2,7.35
37,1,HS Diploma,Married,Own,2.4,Pacific Coast,1,Full-Time,2.6,Self,Service,29461.15,25141.43,,26034.56,1,2.1,8172.96,30041.33,0.0,,18691.48,276805.34,0.0,,,415.0,8,5,14952.71,0.3195,0,0,0,0,0,0.0,0.0,0.0,2,415,334,5,0.2299,4100.0,Auto,36,0,None,,0.1392,166.24,0.0064,0,1,12.32
